threshold,cost
0.01,7770
0.02,6630
0.03,6110
0.04,5770
0.05,5520
0.060000000000000005,5850
0.06999999999999999,5750
0.08,5640
0.09,6030
0.09999999999999999,5970
0.11,5900
0.12,5860
0.13,5800
0.14,5700
0.15000000000000002,6100
0.16,5990
0.17,5930
0.18000000000000002,5840
0.19,5820
0.2,6280
0.21000000000000002,6240
0.22,6180
0.23,6120
0.24000000000000002,6580
0.25,6560
0.26,7010
0.27,7450
0.28,7400
0.29000000000000004,7380
0.3,7370
0.31,7340
0.32,7290
0.33,7260
0.34,7240
0.35000000000000003,7220
0.36000000000000004,7690
0.37,8110
0.38,8100
0.39,8070
0.4,8010
0.41000000000000003,8490
0.42000000000000004,8460
0.43,8930
0.44,8890
0.45,8880
0.46,8860
0.47000000000000003,8840
0.48000000000000004,8810
0.49,8780
0.5,9270
0.51,9260
0.52,9730
0.53,9710
0.54,9680
0.55,9620
0.56,9570
0.5700000000000001,10050
0.5800000000000001,10000
0.59,9990
0.6,9980
0.61,9950
0.62,9940
0.63,10420
0.64,10390
0.65,10360
0.66,10310
0.67,10290
0.68,10210
0.6900000000000001,10170
0.7000000000000001,11150
0.7100000000000001,11630
0.72,12120
0.73,12110
0.74,13110
0.75,13600
0.76,14070
0.77,14060
0.78,14020
0.79,15020
0.8,15500
0.81,15980
0.8200000000000001,15930
0.8300000000000001,16350
0.8400000000000001,16340
0.85,17310
0.86,17800
0.87,19300
0.88,20300
0.89,20780
0.9,20760
0.91,21240
0.92,21230
0.93,21700
0.9400000000000001,23680
0.9500000000000001,26670
0.9600000000000001,30120
0.97,34610
0.98,40090
0.99,47050
